soil_moisture,current_temperature,current_humidity,minutes_since_last_watering,water_requirement_level,root_depth_cm,drought_tolerance,soil_type_encoded,soil_compaction,slope_degrees,hour_of_day,day_of_year,season,should_water,duration_minutes,intensity_percent,crop_name,soil_type
7.2,22.2,53.9,488,3,60,2,2,26.5,4.0,17,103,1,1,60,38,peas,loam
25.5,13.0,76.4,190,3,150,3,3,35.1,12.6,1,236,2,1,32,24,wheat_durum,clay
0.0,38.0,39.3,1196,3,60,2,3,31.3,0.8,10,242,2,1,90,27,peas,clay
16.6,34.2,40.1,367,4,75,2,3,74.9,15.0,16,270,3,1,90,20,eggplant,clay
31.3,13.7,72.3,767,4,180,2,2,24.8,2.7,0,136,1,1,35,52,watermelon,loam
0.0,24.1,51.5,1410,4,180,2,2,70.1,1.0,12,35,4,1,90,26,watermelon,loam
48.7,37.3,48.0,467,3,140,3,1,30.5,6.8,11,231,2,0,0,0,wheat_soft,sandy
48.9,20.9,62.8,404,3,80,3,1,42.9,0.6,10,348,3,1,5,85,fava_bean,sandy
47.9,5.0,81.3,1357,4,60,2,1,59.6,11.3,22,318,3,1,5,55,potato,sandy
0.0,39.8,35.9,507,4,60,2,3,45.9,1.6,10,203,2,1,90,23,zucchini,clay
0.0,33.1,49.3,1693,4,180,2,1,55.2,10.1,13,128,1,1,47,30,watermelon,sandy
0.0,23.3,56.1,1538,3,30,3,3,75.3,1.9,16,99,1,1,84,20,garlic,clay
6.8,35.3,39.1,639,4,60,2,1,68.5,1.3,15,163,1,1,39,46,tomato,sandy
0.0,35.7,54.8,531,3,40,3,2,32.7,3.7,14,264,2,1,56,38,turnip,loam
70.7,11.8,69.0,1405,4,150,2,3,39.1,0.8,19,37,4,0,0,0,orange,clay
15.9,23.3,57.9,1404,3,50,2,1,47.3,0.5,18,273,3,1,25,46,cabbage,sandy
0.0,31.2,42.7,1163,3,150,3,2,55.3,0.6,10,143,1,1,51,38,wheat_durum,loam
5.5,27.9,46.9,334,4,150,2,1,28.6,1.9,18,196,2,1,50,46,melon,sandy
51.5,23.2,53.3,795,3,50,2,2,62.9,0.6,7,129,1,1,5,70,cabbage,loam
67.4,17.3,72.2,279,3,140,3,2,50.8,4.6,18,94,1,0,0,0,wheat_soft,loam
0.0,25.8,57.2,1332,3,30,2,3,61.4,1.6,15,325,3,1,90,27,coriander,clay
36.9,10.5,72.8,672,4,50,2,3,21.5,3.7,6,12,4,1,30,50,pepper_sweet,clay
0.0,12.6,64.3,2035,4,25,2,1,80.5,4.6,16,357,4,1,44,32,strawberry,sandy
0.0,31.2,51.0,863,2,100,4,2,52.0,0.2,18,233,2,1,33,38,chickpea,loam
16.1,23.9,68.7,1112,4,150,2,3,64.7,1.7,3,223,2,1,90,27,melon,clay
0.0,22.5,57.6,758,3,60,2,2,66.0,1.0,14,339,3,1,61,38,peas,loam
41.9,19.5,69.6,868,4,60,2,2,51.1,5.2,18,317,3,1,22,56,tomato,loam
1.6,20.4,68.5,587,3,80,3,2,78.6,3.7,14,47,4,1,53,26,fava_bean,loam
0.0,27.0,49.9,1109,5,90,1,1,38.2,0.8,8,178,2,1,68,46,cucumber,sandy
46.7,13.3,72.4,1329,3,30,3,2,51.2,2.0,18,312,3,1,5,70,garlic,loam
0.0,18.5,67.4,2320,4,180,2,2,44.6,0.5,16,351,3,1,90,38,watermelon,loam
14.6,20.8,55.8,254,4,150,2,1,71.5,4.9,18,118,1,1,37,32,orange,sandy
0.0,32.4,48.2,903,3,50,2,2,79.2,5.1,13,286,3,1,61,21,cabbage,loam
14.0,22.8,49.4,914,3,50,3,2,49.9,1.2,10,53,4,1,42,38,pepper_hot,loam
18.9,22.1,60.0,968,3,140,3,1,50.0,4.2,7,277,3,1,14,46,wheat_soft,sandy
31.0,5.5,76.5,2466,4,25,1,3,35.3,1.5,0,61,4,1,64,37,lettuce,clay
0.0,29.2,49.8,2857,3,30,3,1,40.9,4.0,13,294,3,1,28,46,onion,sandy
16.0,29.6,60.2,209,4,50,2,3,59.5,12.0,14,264,2,1,86,20,pepper_sweet,clay
100.0,8.1,79.3,1293,4,150,2,1,45.9,1.9,7,350,3,0,0,0,orange,sandy
100.0,7.2,82.0,1392,4,180,2,2,66.0,14.1,21,326,3,0,0,0,watermelon,loam
93.6,26.2,49.9,1015,2,250,5,1,75.3,19.2,15,13,4,0,0,0,olive,sandy
0.0,28.3,58.8,1410,4,60,2,2,79.0,0.6,17,270,3,1,90,26,tomato,loam
76.7,11.8,74.7,410,3,30,2,2,41.8,0.3,19,309,3,0,0,0,coriander,loam
64.5,29.4,64.3,195,4,180,2,1,54.9,0.8,7,254,2,1,5,85,watermelon,sandy
13.5,38.8,51.7,500,2,250,5,3,42.3,4.5,13,243,2,1,23,23,olive,clay
76.4,14.0,72.1,584,3,30,3,1,25.0,0.2,19,356,4,0,0,0,onion,sandy
20.6,13.2,74.8,1914,4,180,2,1,71.2,2.7,8,55,4,1,33,44,watermelon,sandy
0.0,37.8,37.4,2526,4,60,2,1,33.8,1.0,14,152,1,1,40,46,potato,sandy
0.0,38.0,49.1,472,4,60,2,2,44.6,5.5,11,215,2,1,89,30,zucchini,loam
54.3,5.0,73.7,1047,3,80,3,2,21.7,0.3,20,55,4,1,5,70,fava_bean,loam
24.4,29.4,50.4,66,2,250,5,3,45.8,3.2,6,264,2,0,0,0,olive,clay
